M,z,y
-32.04904786,0.911237991,0.000293614
-31.76783569,0.914424138,0.000100294
-31.4790029,0.917610285,-9.33E-05
-31.18309007,0.920796432,-0.000287509
-30.87918485,0.923982579,-0.00048206
-30.56761418,0.927168726,-0.000677287
-30.2483186,0.930354872,-0.000872269
-29.92127275,0.933541019,-0.001067977
-29.58634733,0.936727166,-0.001263945
-29.24330019,0.939913313,-0.001460136
-28.8922549,0.94309946,-0.001656457
-28.53303488,0.946285607,-0.001853144
-28.16566786,0.949471753,-0.002050166
-27.78978871,0.9526579,-0.002247613
-27.40576595,0.955844047,-0.002444959
-27.01335357,0.959030194,-0.002642288
-26.61226247,0.962216341,-0.002840085
-26.20255681,0.965402487,-0.003037969
-25.78428174,0.968588634,-0.003236004
-25.35706804,0.971774781,-0.003434067
-24.92121302,0.974960928,-0.003632175
-24.47623869,0.978147075,-0.003830444
-24.02238215,0.981333222,-0.00402867
-23.55927016,0.984519368,-0.00422694
-23.08722171,0.987705515,-0.00442503
-22.60594305,0.990891662,-0.004623296
-22.11526345,0.994077809,-0.004821722
-21.61483662,0.997263956,-0.005019276
-21.1051763,1.000450103,-0.00521737
-20.58584395,1.003636249,-0.005415271
-20.05698636,1.006822396,-0.005613032
-19.51834977,1.010008543,-0.005810772
-18.96979181,1.01319469,-0.006008011
-18.41127457,1.016380837,-0.006205417
-17.8428008,1.019566983,-0.006402132
-17.26425495,1.02275313,-0.006599073
-16.67569605,1.025939277,-0.00679553
-16.07660664,1.029125424,-0.006991833
-15.46723033,1.032311571,-0.007187718
-14.84739202,1.035497718,-0.007383309
-14.21694023,1.038683864,-0.007578781
-13.57608258,1.041870011,-0.007773493
-12.92447224,1.045056158,-0.007968057
-12.26213331,1.048242305,-0.008162253
-11.58865599,1.051428452,-0.008355891
-10.90435936,1.054614599,-0.008549245
-10.2089989,1.057800745,-0.008742045
-9.5023044,1.060986892,-0.008934388
-8.784532589,1.064173039,-0.009126231
-8.055446456,1.067359186,-0.009317637
-7.314842217,1.070545333,-0.009508361
-6.562835836,1.073731479,-0.009698733
-5.799243329,1.076917626,-0.009888011
-5.023581651,1.080103773,-0.010077305
-4.236645236,1.08328992,-0.010265605
-3.437667082,1.086476067,-0.010453312
-2.626704146,1.089662214,-0.010640609
-1.803588356,1.09284836,-0.010826905
-0.968386984,1.096034507,-0.01101243
-0.120760957,1.099220654,-0.011197365
0.738954103,1.102406801,-0.011381702
1.611096302,1.105592948,-0.011564974
2.495973112,1.108779095,-0.011747594
3.393261534,1.111965241,-0.011929548
4.303520499,1.115151388,-0.01211036
5.226429225,1.118337535,-0.012290586
6.162277801,1.121523682,-0.012469644
7.111030317,1.124709829,-0.012648314
8.073006287,1.127895975,-0.012825815
9.047899256,1.131082122,-0.013002069
10.03629718,1.134268269,-0.013177642
11.03806607,1.137454416,-0.01335235
12.05322016,1.140640563,-0.013525884
13.08190519,1.14382671,-0.0136984
14.12421695,1.147012856,-0.013870099
15.18045853,1.150199003,-0.014040636
16.2501607,1.15338515,-0.014209871
17.33414387,1.156571297,-0.014378203
18.43194853,1.159757444,-0.014545444
19.54398806,1.162943591,-0.014711411
20.67004619,1.166129737,-0.014876406
21.8104584,1.169315884,-0.015039998
22.96529871,1.172502031,-0.015202507
24.13479243,1.175688178,-0.015363841
25.31861416,1.178874325,-0.015523894
26.51713996,1.182060471,-0.015682893
27.73047041,1.185246618,-0.015840097
28.9584683,1.188432765,-0.015996439
30.20162347,1.191618912,-0.016151342
31.4597734,1.194805059,-0.016304885
32.73288772,1.197991206,-0.01645708
34.02143795,1.201177352,-0.016607786
35.3251519,1.204363499,-0.016757113
36.64433071,1.207549646,-0.016905284
37.97889291,1.210735793,-0.01705148
39.32896557,1.21392194,-0.017196745
40.69482387,1.217108087,-0.017340343
42.07641238,1.220294233,-0.01748265
43.47370664,1.22348038,-0.017622977
44.88687369,1.226666527,-0.017761978
46.31623538,1.229852674,-0.017899461
47.76162356,1.233038821,-0.018035321
49.22316185,1.236224967,-0.018169719
50.70099094,1.239411114,-0.018302348
52.19504378,1.242597261,-0.018433452
53.7057,1.245783408,-0.018562759
55.23280147,1.248969555,-0.018690506
56.77635928,1.252155702,-0.018816542
58.3367352,1.255341848,-0.018940752
59.91383915,1.258527995,-0.019063015
61.50761142,1.261714142,-0.019184153
63.11854108,1.264900289,-0.01930295
64.74613899,1.268086436,-0.019420399
66.3910472,1.271272583,-0.019535718
68.05313156,1.274458729,-0.019649534
69.73227328,1.277644876,-0.019760898
71.42878993,1.280831023,-0.019870884
73.14246825,1.28401717,-0.019978857
74.87380878,1.287203317,-0.020084916
76.62256239,1.290389463,-0.020188992
78.38902085,1.29357561,-0.020291285
80.17304497,1.296761757,-0.020391485
81.97483196,1.299947904,-0.020489601
83.79428381,1.303134051,-0.020585969
85.63168269,1.306320198,-0.020680138
87.48698504,1.309506344,-0.020772349
89.36032173,1.312692491,-0.02086257
91.25150685,1.315878638,-0.020950532
93.16111142,1.319064785,-0.021036243
95.08861133,1.322250932,-0.021120208
97.03451684,1.325437079,-0.02120184
98.99853614,1.328623225,-0.021281613
100.9809891,1.331809372,-0.021358817
102.9818878,1.334995519,-0.021433987
105.0011767,1.338181666,-0.021506783
107.0390413,1.341367813,-0.021577903
109.0953332,1.344553959,-0.021646277
111.1702341,1.347740106,-0.021712527
113.2638699,1.350926253,-0.021776605
115.3761718,1.3541124,-0.021838289
117.5071658,1.357298547,-0.021897557
119.6570337,1.360484694,-0.021954543
121.8257842,1.36367084,-0.022009274
