M,z,y
1.558046067,1.404702351,3.064422428
1.585980664,1.413706853,3.06343172
1.614035533,1.422711356,3.062438182
1.642215035,1.431715858,3.061443246
1.670511617,1.44072036,3.060446436
1.698936029,1.449724862,3.059447139
1.727476738,1.458729365,3.058445591
1.756143097,1.467733867,3.057442497
1.784933935,1.476738369,3.05643709
1.813851436,1.485742871,3.055430136
1.842882302,1.494747374,3.054420942
1.872032035,1.503751876,3.053409439
1.901318362,1.512756378,3.052396278
1.930717193,1.52176088,3.051380673
1.960246546,1.530765383,3.050363472
1.989896162,1.539769885,3.049344609
2.019658223,1.548774387,3.048323086
2.049548282,1.557778889,3.047300419
2.079558606,1.566783392,3.046275655
2.109704085,1.575787894,3.045248236
2.13995923,1.584792396,3.044219524
2.170335766,1.593796898,3.043189055
2.200845497,1.602801401,3.042156398
2.231468486,1.611805903,3.041122171
2.262219901,1.620810405,3.04008589
2.293086686,1.629814907,3.039047326
2.324079263,1.63881941,3.038007828
2.355192198,1.647823912,3.036965705
2.386434636,1.656828414,3.035921739
2.417798572,1.665832916,3.034876334
2.449275907,1.674837419,3.033828931
2.480886336,1.683841921,3.032780199
2.512624897,1.692846423,3.031728768
2.544460644,1.701850925,3.030676148
2.576434161,1.710855428,3.029621917
2.608529341,1.71985993,3.028565789
2.640741855,1.728864432,3.027507884
2.673081369,1.737868934,3.026448186
2.705542897,1.746873437,3.025386983
2.738123217,1.755877939,3.024323437
2.770830853,1.764882441,3.023258448
2.803658456,1.773886943,3.022192016
2.836600987,1.782891446,3.021123713
2.869680212,1.791895948,3.020053855
2.902868688,1.80090045,3.018982142
2.936176403,1.809904952,3.017909301
2.969622919,1.818909455,3.016834249
3.003177466,1.827913957,3.015757531
3.036851688,1.836918459,3.01467961
3.070649312,1.845922961,3.013599237
3.104569867,1.854927464,3.012518194
3.138616608,1.863931966,3.011435278
3.172773687,1.872936468,3.010350022
3.207063385,1.88194097,3.009263789
3.241478928,1.890945473,3.008176984
3.276000764,1.899949975,3.007087644
3.31064546,1.908954477,3.005996686
3.345421724,1.917958979,3.00490414
3.380311873,1.926963482,3.00380995
3.415319567,1.935967984,3.002714711
3.450455444,1.944972486,3.001617317
3.48570873,1.953976988,3.000519132
3.52108276,1.962981491,2.999419436
3.556575542,1.971985993,2.99831801
3.592191625,1.980990495,2.99721495
3.627928587,1.989994997,2.996110849
3.663785152,1.9989995,2.995005204
3.699759859,2.008004002,2.993897791
3.735859421,2.017008504,2.992789076
3.772072991,2.026013007,2.991679185
3.808403876,2.035017509,2.990568056
3.84486619,2.044022011,2.98945454
3.88144339,2.053026513,2.988340886
3.918137773,2.062031016,2.987225375
3.954954216,2.071035518,2.986108053
3.991887607,2.08004002,2.98498978
4.028945368,2.089044522,2.983870312
4.066106597,2.098049025,2.982749481
4.103397895,2.107053527,2.981627186
4.140811017,2.116058029,2.980503164
4.178341241,2.125062531,2.979378331
4.215989758,2.134067034,2.97825261
4.253754973,2.143071536,2.977125078
4.291641685,2.152076038,2.975996375
4.329651005,2.16108054,2.974866779
4.367778868,2.170085043,2.973735137
4.406005042,2.179089545,2.972602579
4.444369317,2.188094047,2.9714688
4.482845513,2.197098549,2.970334525
4.521443602,2.206103052,2.969198645
4.560157506,2.215107554,2.968061045
