M,z,y
-0.023847508,0.978089045,0.028382999
-0.023904359,0.987493747,0.02818349
-0.023960085,0.996898449,0.027982807
-0.024014958,1.006303152,0.027787986
-0.024068673,1.015707854,0.027598105
-0.024121287,1.025112556,0.027418978
-0.024173072,1.034517259,0.02723942
-0.024223774,1.043921961,0.027070047
-0.024273462,1.053326663,0.026901702
-0.024322058,1.062731366,0.026735607
-0.024369772,1.072136068,0.026582027
-0.024416197,1.08154077,0.026418892
-0.024461812,1.090945473,0.026274218
-0.02450627,1.100350175,0.026124784
-0.024549745,1.109754877,0.025987919
-0.024592139,1.11915958,0.025858528
-0.024633574,1.128564282,0.025722035
-0.024673856,1.137968984,0.025596931
-0.024713158,1.147373687,0.025466433
-0.024751289,1.156778389,0.025347217
-0.024788586,1.166183092,0.025233998
-0.024824742,1.175587794,0.025123747
-0.024859755,1.184992496,0.025013478
-0.024893908,1.194397199,0.024902862
-0.024926865,1.203801901,0.024809657
-0.024958882,1.213206603,0.024711647
-0.024989767,1.222611306,0.024622714
-0.025019554,1.232016008,0.024529653
-0.025048357,1.24142071,0.024450759
-0.025076068,1.250825413,0.024358663
-0.025102607,1.260230115,0.02428225
-0.025128396,1.269634817,0.024208137
-0.025152821,1.27903952,0.024135713
-0.02517628,1.288444222,0.024066721
-0.025198583,1.297848924,0.023991714
-0.025220006,1.307253627,0.023929912
-0.025240325,1.316658329,0.023870227
-0.025259557,1.326063032,0.023815953
-0.025277678,1.335467734,0.023762407
-0.025294732,1.344872436,0.023704641
-0.025310687,1.354277139,0.023661167
-0.025325641,1.363681841,0.02360982
-0.025339443,1.373086543,0.023560564
-0.025352175,1.382491246,0.023526322
-0.025363834,1.391895948,0.023479966
-0.02537449,1.40130065,0.023438872
-0.025383924,1.410705353,0.023410085
-0.02539231,1.420110055,0.023374844
-0.025399815,1.429514757,0.023339896
-0.025406001,1.43891946,0.023308011
-0.025411161,1.448324162,0.02328443
-0.025415153,1.457728864,0.023252048
-0.02541827,1.467133567,0.023229415
-0.025420152,1.476538269,0.023202887
-0.025421032,1.485942971,0.023181077
-0.025420638,1.495347674,0.023168011
-0.025419244,1.504752376,0.023143916
-0.025416726,1.514157079,0.023133688
-0.025413207,1.523561781,0.023112869
-0.025408596,1.532966483,0.023103222
-0.025402769,1.542371186,0.023081538
-0.025395817,1.551775888,0.023074204
-0.025387851,1.56118059,0.023061016
-0.025378785,1.570585293,0.023052684
-0.025368489,1.579989995,0.023039484
-0.025357404,1.589394697,0.023033047
